Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Stock_Code,Name
2014-12-26,25.556266877244205,25.639782812113456,25.389230759600775,25.500587463378906,317000,0.0,0,5471,松翰
2014-12-29,25.751137797331147,26.140885172567703,25.751137797331147,25.778976440429688,210000,0.0,0,5471,松翰
2014-12-30,25.77897627271665,25.77897627271665,25.611942291259766,25.611942291259766,174000,0.0,0,5471,松翰
2014-12-31,25.66762455026257,25.862499336346684,25.66762455026257,25.806819915771484,135000,0.0,0,5471,松翰
2015-01-05,25.806817053765034,26.11304852308539,25.61194441324525,26.001691818237305,241000,0.0,0,5471,松翰
2015-01-06,25.9460122179863,26.05736892203674,25.528426170761502,25.72330093383789,339000,0.0,0,5471,松翰
2015-01-07,25.667619744083197,25.918171779874722,25.667619744083197,25.778976440429688,212000,0.0,0,5471,松翰
2015-01-08,25.77897647914545,26.11304656868664,25.77897647914545,25.89033317565918,316000,0.0,0,5471,松翰
2015-01-09,25.77897627271665,25.890332968338676,25.44490830980288,25.611942291259766,341000,0.0,0,5471,松翰
2015-01-12,25.611944009969523,25.611944009969523,25.333553314208984,25.333553314208984,281000,0.0,0,5471,松翰
2015-01-13,25.33355238752951,25.33355238752951,25.16651840097364,25.25003433227539,267000,0.0,0,5471,松翰
2015-01-14,25.25003433227539,25.277875099995015,25.16651840097364,25.25003433227539,198000,0.0,0,5471,松翰
2015-01-15,25.250040839911087,25.250040839911087,25.05516815936387,25.16652488708496,231000,0.0,0,5471,松翰
2015-01-16,25.05516242980957,25.277875834322185,25.05516242980957,25.05516242980957,248000,0.0,0,5471,松翰
2015-01-19,25.110840736157765,25.277876858284785,25.055163444750438,25.0830020904541,145000,0.0,0,5471,松翰
2015-01-20,25.110838144590456,25.444908230414228,25.110838144590456,25.38922882080078,108000,0.0,0,5471,松翰
2015-01-21,25.47274611189559,25.973850163677707,25.47274611189559,25.751136779785156,360000,0.0,0,5471,松翰
2015-01-22,25.751139578862382,26.001691631987754,25.72330093383789,25.72330093383789,227000,0.0,0,5471,松翰
2015-01-23,26.05736694979556,26.05736694979556,25.611942291259766,25.611942291259766,199000,0.0,0,5471,松翰
2015-01-26,25.61194301870313,25.723299717487965,25.194356991224275,25.417070388793945,312000,0.0,0,5471,松翰
2015-01-27,25.417069329612318,25.500585257256386,25.277873992919922,25.277873992919922,209000,0.0,0,5471,松翰
2015-01-28,25.222195760212085,25.50058644658077,25.1665184725193,25.472747802734375,154000,0.0,0,5471,松翰
2015-01-29,25.472748818422488,25.66762145706987,25.389230759600775,25.500587463378906,123000,0.0,0,5471,松翰
2015-01-30,25.500591162124316,25.611947882054235,25.444913864135742,25.444913864135742,99000,0.0,0,5471,松翰
2015-02-02,25.444913864135742,25.723304601984157,25.444913864135742,25.444913864135742,135000,0.0,0,5471,松翰
2015-02-03,25.444907383613845,25.7232980505594,25.444907383613845,25.528423309326172,157000,0.0,0,5471,松翰
2015-02-04,25.611947551657124,26.419281105793388,25.58410890302196,26.363601684570312,792000,0.0,0,5471,松翰
2015-02-05,26.447119035054452,27.365809282695313,26.419280387176514,26.781187057495117,1709000,0.0,0,5471,松翰
2015-02-06,27.282290206672,27.56068092306661,26.83686548523114,26.864704132080078,1300000,0.0,0,5471,松翰
2015-02-09,27.170934539418948,27.36580932275518,26.92038246024533,27.0039005279541,717000,0.0,0,5471,松翰
2015-02-10,27.282291991548387,27.282291991548387,26.39144249038505,26.586315155029297,665000,0.0,0,5471,松翰
2015-02-11,26.72550566530518,26.892539650922867,26.474953624902476,26.5584716796875,393000,0.0,0,5471,松翰
2015-02-12,26.4471186185753,26.586313979725695,26.057371182563656,26.28008460998535,458000,0.0,0,5471,松翰
2015-02-13,26.725505792554046,26.725505792554046,26.44711510721494,26.61414909362793,375000,0.0,0,5471,松翰
2015-02-24,26.836863611482247,27.059574894676675,26.836863611482247,26.976058959960938,518000,0.0,0,5471,松翰
2015-02-25,26.976061880035406,27.059577823791486,26.781187096699174,27.0039005279541,484000,0.0,0,5471,松翰
2015-02-26,26.836859863433244,27.115250521510454,26.781180457446506,27.087411880493164,324000,0.0,0,5471,松翰
2015-03-02,27.226607209531767,27.226607209531767,26.89253714546782,27.087411880493164,417000,0.0,0,5471,松翰
2015-03-03,27.059577784179904,27.115257203888472,26.75334840961718,26.781187057495117,691000,0.0,0,5471,松翰
2015-03-04,26.781186067580652,26.89254277892902,26.614152062534405,26.864704132080078,232000,0.0,0,5471,松翰
2015-03-05,26.892540901292737,27.003897604866182,26.836863611482247,26.976058959960938,225000,0.0,0,5471,松翰
2015-03-06,27.11525535583496,27.11525535583496,26.892541940085202,27.11525535583496,298000,0.0,0,5471,松翰
2015-03-09,26.78118308004092,26.78118308004092,26.53063316239762,26.61414909362793,501000,0.0,0,5471,松翰
2015-03-10,26.168725937553567,26.4471166390169,25.946012526801898,26.057369232177734,668000,0.0,0,5471,松翰
