Date,Score_Trend,Score_Comprehensive,Score_Strength,Score_Funds,Score_Expectation,Score_Risk,Stock_code,Name
2024-12-30,3.9739423430522294,3.9582116045897324,5.019896534164141,7.203426016829041,1.5165531923519318,8.514469477693126,2609,陽明
2024-12-31,3.9744717957330105,4.025560836584308,5.128852653200028,7.179671484045349,1.8207183274095216,8.548374750794698,2609,陽明
2025-01-02,3.9793650542681105,4.170753515421826,5.37363117958812,7.063172368305006,2.5657171210364833,8.55820845249356,2609,陽明
2025-01-03,3.983742827072518,4.338398185434088,5.61641532624644,7.1249428786343065,3.264331187349039,8.599754448727948,2609,陽明
2025-01-06,3.9890657253952915,4.231325781575099,5.438938096300898,7.083499429626814,2.7934437613841405,8.641835385842175,2609,陽明
2025-01-07,3.9978277893221787,4.627379035644956,6.046395732247287,6.506380158404325,5.1672555240819085,8.674889789581279,2609,陽明
2025-01-08,4.001206937436117,4.3906439753520745,5.766961326467852,6.645063476899434,3.789768493438392,8.717855270206066,2609,陽明
2025-01-09,3.9987663965224707,3.751806408964934,4.77990511871416,6.516030818213551,1.1033163956088314,8.531700238442504,2609,陽明
2025-01-10,3.9944489319313456,3.865409399299425,4.617412299202743,6.7085788958529315,1.9317990258701334,8.469804648141476,2609,陽明
2025-01-13,3.973433329735963,3.6329247083430785,4.200227848634118,6.514665126651702,1.2325691989466618,8.36107323829308,2609,陽明
