Date,Score_Trend,Score_Comprehensive,Score_Strength,Score_Funds,Score_Expectation,Score_Risk,Stock_code,Name
2024-12-30,6.785634815369578,5.438007760446803,6.155173183162928,7.165130433646668,7.077246636387239,7.134896002352151,2330,台積電
2024-12-31,6.726616481886967,5.131716112484113,5.643891233726816,7.267164808758558,5.6428554653258365,7.211115282486971,2330,台積電
2025-01-02,6.6699545167341165,4.822476372667266,5.208836992893106,6.970549428661165,4.538253643508849,7.20397609916318,2330,台積電
2025-01-03,6.630155949400724,4.959519312253695,5.348480297120933,6.742355258256801,5.5513076239557675,7.197426306174782,2330,台積電
2025-01-06,6.6168471162837434,5.561100622207151,6.545638005311244,7.462865477891266,7.577415584849605,6.7256143847702266,2330,台積電
2025-01-07,6.597483951054683,5.374435199480986,6.908018359164648,6.968754572966628,6.564694576935272,6.433173649518349,2330,台積電
2025-01-08,6.577966083892523,5.068648983473695,6.288616420673927,6.69600963877437,5.677384104548876,6.393234210619173,2330,台積電
2025-01-09,6.562358972640735,4.924593042978282,6.040866840312278,6.666906686462371,4.9985269777689645,6.541328307529799,2330,台積電
2025-01-10,6.552889759471356,4.820571574095242,5.912517867379012,6.522924778764769,4.541384120626111,6.678437138165364,2330,台積電
2025-01-13,6.5383949616935775,4.359412591742384,5.0850993929084645,6.171444437854051,3.0804949194466094,6.46922817226876,2330,台積電
