Date,Score_Trend,Score_Comprehensive,Score_Strength,Score_Funds,Score_Expectation,Score_Risk,Stock_code,Name
2024-12-30,3.961807623331301,4.817210073274249,6.707560900998695,6.721222086041461,7.484160919555981,5.52528917568633,2379,瑞昱
2024-12-31,4.066392446823579,5.04862873071341,6.901402862064543,7.529461100535654,7.785415378543949,5.578381970738443,2379,瑞昱
2025-01-02,4.1460519796757636,4.276098913331185,5.459687379720743,7.16319534948267,4.962218680210716,5.361389369978763,2379,瑞昱
2025-01-03,4.225235049324791,3.8959499994066373,4.742032594856564,6.938485969390099,3.479669748926449,5.397731128228838,2379,瑞昱
2025-01-06,4.293135053200306,3.9703027798204062,4.5946064359344225,7.069069077247388,3.8374436569001036,5.567775718713367,2379,瑞昱
2025-01-07,4.360106065558902,4.146074082895642,4.578702555797546,7.466325905803834,4.426653982651155,5.743653753561034,2379,瑞昱
2025-01-08,4.430635596773478,4.0860721630376355,4.3329969949187745,7.499644208258299,4.1153774100959195,5.910924019460523,2379,瑞昱
2025-01-09,4.491393833528474,3.6800165140324568,3.658144212742485,7.2070115175165625,2.5255715235211538,5.9022144862260735,2379,瑞昱
2025-01-10,4.5540751707827,3.5831222716908298,3.308033765991106,7.2989963207473405,2.1820902370355784,5.885375006686307,2379,瑞昱
2025-01-13,4.599432944895651,3.4944112654411077,2.7158482375413455,7.075982551139779,2.647589176880149,5.7281926975071915,2379,瑞昱
