Date,Score_Trend,Score_Comprehensive,Score_Strength,Score_Funds,Score_Expectation,Score_Risk,Stock_code,Name
2024-12-30,3.1231039026368785,3.3396679600316004,2.9406104021802375,6.3097764134934184,2.262194115918055,8.411295196564563,1709,和益
2024-12-31,3.0344076928704284,3.319901708608194,2.8794528806459576,6.22717307162246,2.402723004701028,8.426451824563934,1709,和益
2025-01-02,2.949036563319505,3.4293961476183976,3.142697136311075,6.15210595627224,2.9505604104351555,8.456494526861725,1709,和益
2025-01-03,2.8552256907184232,3.2746497153392284,2.9726071432609187,6.099917797268082,2.311229470837738,8.47411058327487,1709,和益
2025-01-06,2.771686526299436,3.7430973750850125,3.6908811205676635,6.135997480811488,4.548035751947134,8.479788607977998,1709,和益
2025-01-07,2.6746459866503165,3.360206812658121,3.3933741663295365,5.898496958933109,2.745905845501175,8.499423613970079,1709,和益
2025-01-08,2.583164843455148,3.544893044432401,3.6201041678187504,6.072121588882267,3.5552038671046478,8.60140423779584,1709,和益
2025-01-09,2.491270636379571,3.203112035164434,3.116451598116077,5.87044952088835,2.2632742355097024,8.615090248055965,1709,和益
2025-01-10,2.399026979587925,3.416160126025626,3.292339117543337,6.224450905390351,3.106595013029534,8.782300188363909,1709,和益
2025-01-13,2.299137860029687,3.43822842645901,3.044880410208374,6.781203908144391,3.19334815322494,8.73241963205998,1709,和益
