Date,Score_Trend,Score_Comprehensive,Score_Strength,Score_Funds,Score_Expectation,Score_Risk,Stock_code,Name
2024-12-30,4.570756470353361,3.957644367281353,4.9305895450223,5.426974463243918,3.66849968195935,6.930540424257309,2317,鴻海
2024-12-31,4.452950092417561,3.924396866848172,4.820168532496746,5.594840468329383,3.498916376699247,7.057096151110165,2317,鴻海
2025-01-02,4.323939146715837,3.8238771057404057,4.6246552690888585,5.256666463543121,3.5197221178839024,7.176999353654127,2317,鴻海
2025-01-03,4.191653771251609,3.6513449473181003,4.4104434930788035,5.303412883719977,2.687020401946124,7.323605016021028,2317,鴻海
2025-01-06,4.078210593600656,4.058300997272145,5.034071759400119,5.3893397058700305,4.579268263179544,7.4055333131455345,2317,鴻海
2025-01-07,3.970763762099682,4.570106577980063,5.963818606058261,5.809147372804032,6.490572455337978,7.382321301271726,2317,鴻海
2025-01-08,3.8645519575786724,4.431454826218921,5.845161875756071,5.9646301613340595,5.6256672502429454,7.509674478154221,2317,鴻海
2025-01-09,3.7628902305326886,3.896206207606057,5.241935487062037,6.000558523980356,2.9625763973343204,7.507708258899104,2317,鴻海
2025-01-10,3.6543708847370975,3.7039079766597416,4.964684849423689,6.073763715439944,2.077343886522839,7.574306895331667,2317,鴻海
2025-01-13,3.538303283432303,3.1994996520691146,3.858850052530621,5.606171444310716,1.1328712300120218,7.09212583728119,2317,鴻海
